txn_id,customer_id,date,type,amount
46,9,2026-08-25,WITHDRAW,5071.15
47,3,2026-08-08,WITHDRAW,16179.64
48,18,2026-05-19,DEPOSIT,1106.71
49,1,2026-08-06,DEPOSIT,18534.7
50,8,2026-05-04,DEPOSIT,8187.64
51,7,2026-02-12,WITHDRAW,18058.61
52,13,2026-03-09,DEPOSIT,19707.65
53,15,2026-07-07,WITHDRAW,8517.85
54,18,2026-03-17,WITHDRAW,3180.46
55,7,2026-05-19,DEPOSIT,11625.69
56,2,2026-05-30,WITHDRAW,1237.59
57,16,2026-05-11,DEPOSIT,1231.9
58,3,2026-01-18,DEPOSIT,1463.57
59,8,2026-08-16,WITHDRAW,2485.74
60,19,2026-01-11,DEPOSIT,11620.49
61,20,2026-05-30,DEPOSIT,8442.58
62,19,2026-02-22,WITHDRAW,18700.65
63,11,2026-02-03,DEPOSIT,5385.73
64,10,2026-07-12,WITHDRAW,6391.93
65,3,2026-05-25,DEPOSIT,9219.88
66,4,2026-05-10,DEPOSIT,10798.92
67,9,2026-08-14,DEPOSIT,18671.86
68,3,2026-02-10,DEPOSIT,7453.59
69,15,2026-07-26,WITHDRAW,12272.39
70,17,2026-05-22,DEPOSIT,13390.48
71,10,2026-02-04,DEPOSIT,18784.71
72,9,2026-07-10,DEPOSIT,17805.28
73,18,2026-06-04,DEPOSIT,5519.73
74,7,2026-06-12,WITHDRAW,4151.59
75,9,2026-08-21,WITHDRAW,5097.31
76,2,2026-08-01,DEPOSIT,12722.26
77,9,2026-07-17,DEPOSIT,170.56
78,5,2026-04-24,WITHDRAW,3315.48
79,18,2026-01-29,WITHDRAW,11262.05
80,3,2026-08-02,DEPOSIT,10957.25
81,12,2026-01-11,DEPOSIT,8652.76
82,10,2026-07-23,WITHDRAW,17989.73
83,2,2026-03-05,WITHDRAW,4280.52
84,4,2026-08-15,WITHDRAW,15624.31
85,14,2026-03-02,DEPOSIT,18522.7
86,6,2026-01-07,DEPOSIT,17640.18
87,6,2026-04-16,WITHDRAW,15669.49
88,8,2026-06-29,WITHDRAW,3268.04
89,4,2026-08-08,WITHDRAW,17456.12
90,16,2026-08-24,DEPOSIT,4071.5
91,15,2026-07-23,WITHDRAW,6173.3
92,8,2026-02-19,DEPOSIT,570.92
93,13,2026-01-18,WITHDRAW,5644.2
94,9,2026-04-13,WITHDRAW,12865.49
95,18,2026-01-30,WITHDRAW,18790.82
96,9,2026-03-09,DEPOSIT,11653.74
97,2,2026-03-30,DEPOSIT,11971.77
98,11,2026-05-11,WITHDRAW,12163.56
99,4,2026-02-18,WITHDRAW,18000.14
100,9,2026-01-01,DEPOSIT,14204.83
101,17,2026-01-18,DEPOSIT,7348.01
102,11,2026-02-01,WITHDRAW,13301.41
103,10,2026-03-25,WITHDRAW,13371.17
104,13,2026-02-19,WITHDRAW,11132.81
105,14,2026-08-20,WITHDRAW,13578.63
106,6,2026-08-02,WITHDRAW,8180.9
107,1,2026-04-21,WITHDRAW,5809.58
108,19,2026-04-24,WITHDRAW,9353.26
109,7,2026-07-23,WITHDRAW,15895.33
110,6,2026-06-19,DEPOSIT,5747.35
111,20,2026-07-12,WITHDRAW,1958.41
112,8,2026-02-20,WITHDRAW,4570.35
113,5,2026-05-02,DEPOSIT,1019.65
114,20,2026-08-15,DEPOSIT,9162.78
115,19,2026-04-09,DEPOSIT,14395.08
116,16,2026-06-17,WITHDRAW,4955.29
117,1,2026-02-26,DEPOSIT,15590.57
118,6,2026-03-05,WITHDRAW,1099.35
119,4,2026-04-29,WITHDRAW,2753.45
120,17,2026-08-17,WITHDRAW,19005.79
121,15,2026-05-21,WITHDRAW,16628.33
122,15,2026-05-02,DEPOSIT,14898.74
123,15,2026-08-04,WITHDRAW,15060.36
124,9,2026-03-12,WITHDRAW,12572.29
125,15,2026-03-02,DEPOSIT,14299.54
126,9,2026-05-19,WITHDRAW,6462.22
127,3,2026-04-09,DEPOSIT,3101.53
128,5,2026-04-15,DEPOSIT,1378.15
129,11,2026-02-22,WITHDRAW,8373.91
130,14,2026-05-30,WITHDRAW,18106.29
131,1,2026-04-01,WITHDRAW,9591.9
132,10,2026-08-02,WITHDRAW,17083.61
133,14,2026-03-11,DEPOSIT,9815.77
134,14,2026-03-28,WITHDRAW,677.59
135,13,2026-08-24,DEPOSIT,16826.06
136,5,2026-06-01,DEPOSIT,18147.88
137,19,2026-04-20,DEPOSIT,1770.55
138,5,2026-03-08,WITHDRAW,3716.41
139,13,2026-03-25,WITHDRAW,4312.04
140,11,2026-08-01,WITHDRAW,5637.31
141,14,2026-05-01,WITHDRAW,16714.73
142,1,2026-03-31,DEPOSIT,19998.17
143,8,2026-06-16,DEPOSIT,15646.54
144,2,2026-02-21,DEPOSIT,18997.27
145,1,2026-05-02,DEPOSIT,4847.04
146,4,2026-03-07,DEPOSIT,9354.18
147,12,2026-07-11,DEPOSIT,12157.26
148,4,2026-01-28,DEPOSIT,19297.94
149,19,2026-05-28,DEPOSIT,18584.85
150,13,2026-02-20,WITHDRAW,18835.26
151,3,2026-07-17,DEPOSIT,2127.84
152,10,2026-05-25,DEPOSIT,15944.92
153,2,2026-06-19,WITHDRAW,10701.63
154,12,2026-03-29,DEPOSIT,10168.62
155,1,2026-01-28,WITHDRAW,16464.39
156,14,2026-08-01,WITHDRAW,12748.14
157,15,2026-07-07,DEPOSIT,8766.19
158,17,2026-08-24,WITHDRAW,12356.66
159,18,2026-07-31,WITHDRAW,9350.99
160,19,2026-03-04,WITHDRAW,6513.86
161,3,2026-03-04,WITHDRAW,17644.46
162,15,2026-05-07,WITHDRAW,6794.29
163,11,2026-04-01,DEPOSIT,9802.24
164,9,2026-06-02,WITHDRAW,5665.2
165,9,2026-02-18,DEPOSIT,10380.88
166,3,2026-05-06,DEPOSIT,14429.49
167,18,2026-06-15,DEPOSIT,13843.13
168,16,2026-01-24,WITHDRAW,15879.36
169,10,2026-03-04,DEPOSIT,8147.58
170,10,2026-05-16,WITHDRAW,9517.88
171,12,2026-05-21,WITHDRAW,19932.97
172,11,2026-03-11,WITHDRAW,14086.81
173,10,2026-07-04,WITHDRAW,4687.71
174,7,2026-05-18,WITHDRAW,2479.14
175,6,2026-05-04,DEPOSIT,4406.05
176,9,2026-08-02,WITHDRAW,19612.16
177,7,2026-02-15,WITHDRAW,4626.91
178,10,2026-02-02,DEPOSIT,14189.57
179,9,2026-05-22,DEPOSIT,19488.47
180,10,2026-07-12,DEPOSIT,12793.61
181,16,2026-05-27,DEPOSIT,17467.12
182,10,2026-03-29,WITHDRAW,9626.41
183,6,2026-08-09,DEPOSIT,5124.32
184,16,2026-04-13,DEPOSIT,16460.1
185,16,2026-06-25,DEPOSIT,11582.72
186,2,2026-05-25,DEPOSIT,3069.03
187,10,2026-01-31,DEPOSIT,19878.97
188,18,2026-07-22,WITHDRAW,12165.72
189,20,2026-04-08,DEPOSIT,15536.3
190,15,2026-05-31,WITHDRAW,6017.33
191,14,2026-01-16,WITHDRAW,11415.73
192,20,2026-02-23,DEPOSIT,18957.04
193,7,2026-02-10,WITHDRAW,13242.52
194,8,2026-02-10,DEPOSIT,11084.65
195,1,2026-06-02,WITHDRAW,9065.02
196,16,2026-03-15,WITHDRAW,749.53
197,10,2026-03-01,WITHDRAW,1516.48
198,9,2026-05-20,DEPOSIT,8560.27
199,8,2026-07-31,DEPOSIT,18177.39
200,5,2026-07-22,DEPOSIT,1286.8
